hb,word,kz,wd_cl,ky,ac,ac_c,mn,uc,da,pr,pjr,pf,if,sf,if_o,rd_o,cp,wd_f,wd_f_2,alt,wd_cg,class2,class5,class6,pij,yyj,kfj,skj,woj,woj_2,aoj,izj,ksj,emj,lmj,mdj,hkz,mkz,lg_c,ai,ko,st,as,kt,ie,te,ol
abasua*,abasua*（河豚）,河豚,名,,,,（琉球）河豚。,9 | 河豚屋.a.n | *abasi-ja | nC,,*abas[u]-a,,,,*-a,,,,河豚.a,,,鱼,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
abata,abata（痘痕）,痘痕,名,,[0]-(0)/[0]-x,,天花痊愈后脸上留下的斑疹痕迹。,,,,,,,,,,,痘痕.a,,,疾,2,1,1,,,,,,,,,,,,abata,,アバタ,日,,,,,,遏部昙、阿部昙、阿浮陀、頞浮陀、安浮陀，疱、肿物：梵 arbuda；巴利 abbuda,,
abek-*,abek-*（喘）,喘,自动,,,,（南琉球宫古）喘气。,11 | 喘.a.v | *abik- || 6113 | 喘.a.n | *abik-i,,宮古 *ab[e]k-,,,,,,,,喘.a,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
aberu,aberu（叫）,叫,自动,,x-x-x x-B-x,,（四国）痛苦地喊叫、（琉球）大声叫唤、大吼。,10 | 叫.a.v | *aber- | 非A,abe-r-,*abe-r-,*abe-r-,,,*-r-,,,,叫.a,,,,1,1,0,,,,,,,,,,,,,,アベル,央日|琉,,,,,,,,
abeyas-*,abeyas-*（叫）,叫,自动,,,,（北琉球冲绳）大声叫唤、大吼。,,,沖縄 *abe-ya-s-,,,,*-ya-s-,,,,叫.a,,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
abi,abi,,名,,,,（伊豆、八丈）覆盆子、草莓。,,,,,,,,,,,莓.a,,,草,2,1,0,,,,,,,,,,,,abi,,アビ,八,,,,,,,,
abo,abo（穴）,穴,名,,,,（九州）断崖、（琉球）洞穴等。,13 | 穴.a.n.2 | *abo | xA,,*abo,*ab[o] ?< *ana=nǝ+p[o]?,,,,,,穴=の+?,穴.a,,,地形,0,1,0,,,,,,,,,,,,,,,九|琉,,,,,,,,
abo*,abo*（母）,母,名,,,,（南琉球八重山）母亲。,14 | 母.a.n.2 | *abo,,八重山 *ab[o],,,,,,,,母.a.6,,,亲,0,1,1,,,,,,,,,,,,,,,南琉八,,,阿 吴音/汉音 a；母 汉音 bou,,,,,
aboa*,aboa*（母）,母,名,,,,（南琉球八重山）母亲。,,,八重山 *ab[o]-a,,,,*-a,,,,母.a.6,,,亲,0,1,1,,,,,,,,,,,,,,,南琉八,,,阿 吴音/汉音 a；母 汉音 bou,,,,,
abosi,abosi（畔）,畔 畦,名,,x-x-x x-B-x,,（九州、琉球）田梗、田界、堤。,30 | 畦.a.n | *abusi | oC,a+bosi,*a+b[o]si,*a+b[o]si,,,,,,畦+?,畔.a,畔,,地形,0,1,0,,,,,,,,,,,,,,,九|琉,,,,,,,,
