hb,word,kz,wd_cl,ky,ac,ac_c,mn,uc,da,pr,pjr,pf,if,sf,if_o,rd_o,cp,wd_f,wd_f_2,alt,wd_cg,class2,class5,class6,pij,yyj,kfj,skj,woj,woj_2,aoj,izj,ksj,emj,lmj,mdj,hkz,mkz,lg_c,ai,ko,st,as,kt,ie,te,ol
amenomia*,amenomia*（虹）,虹,名,,,,（南琉球八重山与那国）彩虹。,170 | 虹.a.n | *ame+nomi-ja(?),,与那国 *ame+nom-i-a,,,,*-i-a,,,天+呑,天.a|呑.n,,,天象,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
ames-*,ames-*（浴）,浴,他动,,,,（琉球）泼、浇水。,172 | 浴.a.v.2 | *ames- | A,,*am[e]-s-,,,,*-i-s-,,,,浴.a,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
amese-*,amese-*（浴）,浴,他动,,,,（琉球）泼、浇水。,,,*am[e]-se-,,,,*-i-sa-i-,,,,浴.a,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
amesimi-*,amesimi-*（浴）,浴,他动,,,,（南琉球宫古）泼、浇水。,,,宮古 *am[e]-sime-,,,,*-i-simai-,,,,浴.a,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
ami,ami（醤蝦）,醤蝦 海糠 䲑,名,,?2.1; 上上 - 2-2-A x-x-x,?2.1,糠虾。,,,,,,,,,,,醤蝦.a,,,节肢,2,1,0,,,,,,,,,,ami 阿彌,,,,アミ,日,,,,,,,,
ami,ami（網）,網 編,名,,2.3; 平平 - [2]-[1]-A,2.3,网、编织。,7573 | 編.a.n | *am-i || 173 | 網.a.n | *ami | 3B,a-m-i,*a-m-i,*a-m-i,,,*-i,,,,畔.a,編,,,2,1,0,,,,,ami 阿彌 安美,,,,,,,,,アミ,日|琉,,,,,,,,
"amiita 1, anda 2, aoda 3","amiita 1, anda 2, aoda 3（編板）",編板 箯輿,名,,,,用竹子和木头编制的简陋的钓舆；长方形的木板周围是用竹编边的手轿，用于运送罪人、战死者、伤员、病人等（也指病人）；左右垂着叠表（用麻线把兰草的茎织成的布）的简陋的轿子（也称 anpotsu）。,357 | 畚.a.n | *auda | oX,1 a-m-i+ita | 2 a-n+da | 3 a-o+da,*a-m-i+ita,*a-m-i+ita,,,*-m-i-CP,,,編+板,畔.a|板.i,編,拨音便|う音便,器,4,1,0,,,,,,,,,,1 amiita 阿美以太 | 2 anta,3 aoda,,2 アムタ | 3 アヲダ,1 アミイタ | 2 アンタ | 3 アオダ,日|琉,,,,,,,,
"amiru* 1, abiru 2","amiru* 1, abiru 2（浴）",浴,他动,上一段（上二段）,?B; B - A-B-A A-A-x. 镰仓 LH. 江户 aburu HLL,?B,泼、浇水、使沐浴、晒、使遭受、豪饮、（方言）游泳。,167 | 浴.a.v | *ame- | i || 174 | 浴.a.n | *ame | A,1 ami- | 2 abi-,1 *am[e]-,*am[ǝ]-i-,,,*-i-,,,,浴.a,,b/m,,3,1,0,,,,,,,,,,1 ami- | 2 abi-,,,1 アム | 2 アブ,1 アミル* | 2 アビル,日|琉,,,,,,,,
amici*,amiti*（道）,道,名,,,,（南琉球八重山与那国）道路。,175 | 道.a.n | *a-miti,,与那国 *a+mi+ti,,,,,,,彼+御+道?,彼.a|御.m|道.t,,,,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
"amo 1, omo 2","amo 1, omo 2（母）",母,名,,1 ?2.4; ?镰仓 LF,?2.4,母亲、乳母。,,,1 *amo,*am[o],,,,,,,母.a.1,,a/o,亲,4,1,3,1 新羅 阿莫,,,,1 amo 阿母 | 2 omo 於毛 (乳母),,1 下野 amo 阿毛 阿母 | 2 信濃 下総 omo 意母 於母 意毛 於毛,,,,,,,1 アモ | 2 オモ,日|琉,,"母亲：MK 어〮미〮 (émí)；K 어머니 (eomeoni), 엄마 (eomma), 어머님 (eomeonim), 어미 (eomi), 에미 (emi) （母亲）",阿 吴音/汉音 a；母 吴音 mu；母 汉音 bou；母 OC *məʔ ~ *mˤoʔ,,,,"Baoan amo, amə; fuzfu aama；Jurchen əmə; Manchu əmə",
amoru,amoru（天降）,天降,自动,?上一段（上二段）/五段（四段）,,,从天而降、天皇行幸。（首里语为借词）,,am(a)+or-,,,,,,,,天+降,天.a|降.ǝ,,,,3,1,0,,,,,amor- (安母里 阿毛理 安母理),,,,,,,,アモル,アモル,日,,,,,,,,
"amu 1, abu 2","amu 1, abu 2（虻）",虻 蝱,名,,2.5; 平上/平平 - [1]-(2)-A,2.5,虻。,12 | 虻.a.n | *abo | 5X,,*ab[o],*ab[o],,,,,,,虻.a,,b/m,节肢,4,1,0,,,,,1 amu 阿牟,,,,,2 abu 阿夫,,abu,,1 アム | 2 アブ,日|琉,,,,,,,,
amu,amu（編）,編 網,他动,五段（四段）,B; B - B-B-B x-x-B,B,编织。,145 | 編.a.v | *am- | iiB,a-m-,*a-m-,*a-m-,,,*-m-,,,,畔.a,編,,,2,1,0,,,,,amu (安牟 連),,,,,,,,,アム,日|琉,,,,,,,,
"amuseru* 1, abuseru 2, abiseru 3","amuseru* 1, abuseru 2, abiseru 3（浴）",浴,他动,下一段（下二段）,?B; x - A-A,?B,泼、浇水、给予猛烈打击、向对方以激烈的言辞或强烈的感情、把责任、批评、刁难转嫁给别人。,,1 amu-se- | 2 abu-se- | 3 abi-se-,,,,,*-sa-i-,,,,浴.a,,b/m,,4,1,0,,,,,,,,,,1 amuse-,2 abuse- | 3 abise-,,1 アムス | 2 アブス | 3 アビス,1 アムセル* | 2 アブセル | 3 アビセル,日,,,,,,,,
"amusu 1, abusu 2","amusu 1, abusu 2（浴）",浴,他动,五段（四段）,?B,?B,泼、浇水。,,1 amu-s- | 2 abu-s-,,,,,*-s-,,,,浴.a,,b/m,,3,1,0,,,,,1 amus- (安牟佐),,,,,,2 abus-,,,1 アムス | 2 アブス,日,,,,,,,,
ana,ana（悲）,,感叹,,[1]-[1]-x,,表示痛苦（仅见于上代早期）或悲伤。,,,,,,,,,,,ana,,,,2,1,0,,,,,ana 安奈 (痛 空),,,,,,,,,アナ,日,,,,,,,,
ana,ana（穴）,穴 孔 坑 坎 堀,名,,2.3; 平平 - [2]-(0)-B x-B-B,2.3,穴、缺陷。,178 | 穴.a.n | *ana | 3B,,*ana,*ana,,,,,,,穴.a,,,地形,2,1,0,,,,,ana 阿那 (穴),,,,,,,,,アナ,日|琉,,,,,,,,
"anadoru 1, anazuru 2","anadoru 1, anazuru 2（侮）",侮,他动,五段（四段）,"?A/B; A - B-A-B | anadori, anazuri（名词）: [0/3/4]-[0]-B",?A/B,看不起、轻视、蔑视。（八重山语应为借词）,7338 | 侮.a.v | *anador-,1 ana+dor- | 2 ana+zur-,,,,,,,名=を+动,穴+取,穴.a|取.t,,u/o,,3,1,0,,,,,,,,,,1 anador- (阿奈止留) | 2 anadur- (安奈都利),,,2 アナヅル,1 アナドル | 2 アナズル,日,,,,,,,,
anagaci,anagati（強）,強,副・形动,,4.10; 平上平平 - [0]-[2]-x. 室町 HHLL. 江户 HHLL/HLLL,4.10,（形动）太…、只顾、任性的样子；（副）（不）一定（与否定表现共同使用）。（冲绳语应为借词）,,ana+gat-i ?< ana-n(i)+gat-i,,,,,*-i,,拟=に+动,ana+勝,ana,,,,3,1,0,,,,,(強),,,,,anagati,,,,アナガチ,日,,,,,,,,
anaguru,anaguru（探）,探 索,他动,五段（四段）,B; B-A-x,B,探索、探查。,,ana+gur-,,,,,,,名=を+动,穴+刳,穴.a|取.t,,,,3,1,0,,,,,(探),,,,,anagur-,,,,アナグル,日,,,,,,,,
anakama,anakama（噫喧）,噫喧,感叹,,[1]-[0]-x,,哎呀真吵、请安静。,,ana+kama,,,,,,,,ana+喧,ana,,,,2,1,0,,,,,,,,,,anakama,,,,アナカマ,日,,,,,,,,
aname-*,aname-*（捜）,捜,他动,,,,（北琉球冲绳）搜寻（物体，非人）。,,,沖縄 *ana+m-e-,,,,,,,,捜.a,,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
aname-*,aname-*（要求）,要求,他动,,,,（南琉球宫古）要求、请求。,179 | 要求.a.v | *aname-,,宮古 *aname-,,,,,,,,要求.a,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
anamisu,anamisu,,感叹,,,,哎呀真吵。,,ana+misu,,,,,,,,ana+嚚,ana,,,,2,1,0,,,,,,,,,豊後 anami1su 阿那美須,,,,,アナミス,日,,,,,,,,
ananasu,ananasu（鳳梨）,鳳梨,名,,[0/2]-[1]-x,,菠萝。,,,,,,,,,,,鳳梨.a,,,草,2,1,1,,,,,,,,,,,,ananasu,,アナナス,外,,,,,,西班牙（秘鲁） ananas,,
"ananbo 1, ananpo 2","ananbo 1, ananpo 2（穴）",穴,名,,,,（方言）穴、（南琉球八重山也表示）沼泽、贮水池。,180 | 穴.a.n.3 | *anaNpo(?),,1 八重山 *anabo | 2 与那国 *ananpo,*ana=nǝ+p[o]?,,,,,,穴=の+?,穴.a,,,地形,0,1,0,,,,,,,,,,,,,,,日|南琉八,,,,,,,,
anata,anata（彼方）,彼方 貴方 貴男 貴女,代,,"?3.2b, ?3.3; x - [1/2]-[1]-A. 镰仓 HHL/HLL. 室町 HHL. 江户 HHL. 1700 大阪 HHL",?3.2b,"那个方向（远）、从前、未来、那位、您、老公、老婆。（中古开始代替 kare, kanata，18 世纪被 omae 代替。18 世纪在江户游里语出现了 anta。anata 曾用作第三人称，在 18 世纪晚期变成第二人称）",,a=n(o)+(k)ata,宮古 *a+gata,*a=nǝ+kata,,,,,,彼=の+方,彼.a|方.k,,Vk 缩减,,2,1,0,,,,,,,,,,anata,,,,アナタ,日|南琉宫,,,,,,,,
"anazi 1, anaze 2","anazi 1, anaze 2",,名,,,,西北风（经常折磨船的坏风。据说吹过之后就会平静下来）。（方言中也表示各种方向的风）,,,,,,,,,,,西北風.a,,i/e,风,3,1,0,,,,,,,,,,1 anazi,,2 anaze,,1 アナジ | 2 アナゼ,日,,,,,,,,
"ane 1, ne 2","ane 1, ne 2（姉）",姉,名,,2.1; x - [0]-[0]-A A-x-x. 江户 HH,2.1,姐姐、嫂子、年长女性、（方言）妻子、长女、少女、母亲、伯母、叔母、女保姆、（南琉球宫古）用于兄弟前时表示最年长。,183 | 姉.a.n | *ane | 1N,,1 *ane | 2 *ne,*an[e],,,,,,,姉.a.1,,音节缩短,亲,4,1,1,,,,,1 (姉 長) | 2 ne 泥,美濃 ane 阿尼 (阿根),,,,1 ane 阿禰,,,,1 アネ | 2 ネ,日|琉,,"对女性而言的姐姐：K 언니 eonni?< K 형님 hyeongnim（哥哥、姐姐）?< MK 형님 (hyeng-nim), 兄님〯 (HYENG-nǐm)?< 형(兄) (hyeong) + -님 (-nim) （尊敬后缀）",,,,,,
anea*,anea*（姉）,姉,名,,,,（北琉球奄美冲永良部、与论）姐姐。,,,沖永良部、与論 *ane-a,,,,*-a,,,,姉.a.1,,,亲,0,1,0,,,,,,,,,,,,,,,北琉奄,,,,,,,,
"anega* 1, anego* 2","anega* 1, anego* 2（姉）",姉,名,,,,（琉球）姐姐、年长女性。,185 | 姉.a.n.2 | *anika | nC,,1 *ane+ga | 2 *ane+go,,,,,,名=の+名,姉+子,姉.a.1,,a/o,亲,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
anegura*,anegura*（姉）,姉,名,,x-x-x x-B-x,,（北琉球冲绳）姐姐、年长女性。,,,沖縄 *ane+gu-ra,,,,*-ra,,名=の+名,姉+子,姉.a.1,,,亲,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
aneQso*,aneQso*（年上）,年上,名,,,,（南琉球宫古）年长者、前辈。,7498 | 年上.a.n | *ane+s(V)so,,宮古 *aneQso ?< *ane+so,,,,,,,,姉.a.1,,,亲,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
ani,ani（豈）,豈,副,,"2.4; 平上 - [1]-[2]-x. 镰仓 LH, 江户 HL",,"表示「多么…（否定意义）、绝（不）」、为何…（反讽问题，暗示否定答案）。（用于词首，中古时用于汉文训读反语，对应「豈」，ani ... ya 对应「豈…哉」；和文训读用 masani, nadoka）",,,,,,,,,,,何.a,,,,3,1,0,,,,,ani 阿珥 (豈),,上野 ani 阿爾,,,,,,,アニ,日,,,,,,,,
ani,ani（兄）,兄,名,,?2.5; x - [1]-(0/2)-A. 江户 LF. 1700 大阪 ani-go LHH,?2.5,哥哥、姐夫、长子、年长男性。,184 | 兄.a.n | *ani | 5N,,,,,,,,,,兄.a.1,,,亲,3,1,0,,,,,(長),,,,,ani,,,,アニ,日,,,,,,,,
anmako*,anmako*（椰子蟹）,椰子蟹,名,,,,（琉球）椰子蟹（= yasigani）。,189 | 椰子蟹.a.n | *aNmako,,*a[n]+mako ?< *a(ma)mu+mako,,,,,,,宿借?+化,宿借.a|化.m,,,节肢,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
anna*,anna*（母）,母,名,,,,（南琉球宫古）母亲。,190 | 母.a.n | *aNna（*aNma 之讹？）,,宮古 *anna,,,,,,,,母.a.5,,,亲,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
ano*,ano*（吾）,吾 我,代,,x-x-x x-x-C,,（琉球）我（已经在大多数琉球语中消失）。,192 | 吾.a.n.2 | *an[o] | oC,,*a-nu ?< *a-n[o],*a-n[o],,,*-n[o],,,,吾.a,,,,3,1,0,,,,,,,,,,,anu,筑紫 anu,,アヌ,九|琉,,,,,,,,
ancao*,antyao*（重曹）,重曹,名,,,,碳酸氢钠、重碳酸钠、小苏打（= 重曹 zyuusou = 重炭酸曹達 zyuutansansooda）,182 | 重曹.a.n | *aNcjau,,*a[n]ty[a](C)[o],,,,,,,,重曹.a,,,化,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
anuta*,anuta*（我達）,我達,名,,,,（南琉球宫古）我们。,194 | 私達.a.n | *an[o]-ta,,宮古 *a-nu-ta,,,,*-nu-ta,,,,吾.a,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
"anzi 1, anzu 2","anzi 1, anzu 2（按司）",按司,名,,x-x-x x-B-x,,（北琉球古冲绳）割据地方的豪族，尚真王移居住到首里，成为王族的称号。根据特别的功劳可升格为王子。原按司的子孙被称为「親方」。,401 | 按司.a.n | *a[d]i | nB,,沖縄 *anzi ?< *a(r)=(o)+nosi,,,,,,,有+主,有.a|主.n,,记音,官,2,1,0,,,,,,,,,,,,1 anzi | 2 anzu,,1 アンジ | 2 アンズ,琉,,,,,,,,
ao,ao（青）,青,名,,2.5; (平) - [1]-(0/2)-B A-(A)-(A/B),2.5,原指黑与白之间的颜色，后主要表示青色、蓝色、绿色，有时也表示黑色、白色；不成熟。,373 | 青.a.n | *awo | 5X || 375 | 青色.a.n | *awo+ero,,*awo-,*aw[o]-,,,,,,,青.a,,,色,3,1,0,,,,,awo 阿遠 阿袁 (青),,,,,,,,アヲ,アオ,日|琉,,,,,,,,
aoda*,aoda*（蛙）,蛙,名,,,,（南琉球八重山）蛙。（疑似与九州 aQpu 同源）,358 | 蛙.a.n | *aC[o]da(?),,八重山 *[a](C)[o]da ?< *ap[o]-da,,,,,,,,蛙.a.1,,,两栖,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
aog-*,aog-*（空）,空,自动,,,,（南琉球宫古）有空间。,360 | 空.a.v.3 | *aC[o]g-,,宮古 *[a](C)[o]g-,,,,,,,,空.a,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
aogeru,aogeru（仰）,仰,他动,下一段（下二段）,?A; A - B-A-B. 镰仓 HHH. 室町 HHH/HLL,?A,仰视。,,ao-g-e-,,,,,*-g-ai-,,,,仰.a,,,,3,1,0,,,,,,,,,,auge-,,,アフグ,アオゲル,日,,,,,,,,
aogu,aogu（扇）,扇 煽,自动・他动,五段（四段）,B; B - B-A-B x-B-x,B,（他动）扇风、煽动；（自动，后起的）起风。（名词：扇）,241 | 扇.a.v | *ap[o]g- | iiB || 242 | 扇.a.n | *ap[o]g-i | 4C,ao-g-,*ap[o]-g-,*ap[o]-g-,,,*-g-,,,,扇.a,,,,3,1,0,,,,,apug- (安布伎 扇),,,,,,,,アフグ,アオグ,日|琉,,,,,,,,
aogu,aogu（仰）,仰,自动・他动,五段（四段）,?A; A - B-A-B. 镰仓 HHH. 室町 HHH/HLL,?A,（自动）仰视；（他动）瞻仰、接受、一口闷。,,ao-g-,,,,,*-g-,,,,仰.a,,,,3,1,0,,,,,apug- (安布芸 仰),,,,,,,,アフグ,アオグ,日,,,,,,,,
aoi,aoi（葵）,葵,名,,3.1; 上上x - [0]-[0]-A. 镰仓 HHH,3.1,葵。,,,,,,,,,,,葵.a,,,草,3,1,2,,,,,apupi1 (葵),,,,,,,,アフヒ,アオイ,日,,"冬葵：OK 阿夫 (*apwo(k?)), 阿夫實 (*apwo-psi（冬葵种子）), MK 아옥〮 (àwók), 아혹〮 (àhwók), 阿郁 (*awuk ~ awok)；K 아욱 (auk)",,,,,"PM *abuga. Classical Mongolian ᠠᠪᠤᠭ᠎ᠠ（荠菜）, Manchu ᠠᠪᡠᡥᠠ（荠菜）",
aoi,aoi（青）,青 蒼 碧 翠 縹,形,イ（ク）,B; B - B-A-B A-A-(A)/B. 镰仓 B,B,青色的、蓝色的、绿色的、不成熟的、（江戸、秋田県鹿角郡、栃木県河内郡、岐阜県飛騨）黄色的。,374 | 青.a.a | *awo- | iiB,ao-,*awo-,*aw[o]-,,,,,,,青.a,,,,4,1,0,,,,,awo- (阿遠岐 青),,信濃 不明 awo- (阿乎 安乎),,,,,,アヲシ,アオイ,日|琉,,,,,,,,
aoiro,aoiro（青色）,青色,名,,[0]-(0)-x,,原指黑与白之间的颜色，后主要表示青色、蓝色、绿色。,,ao+iro,,,,,,,,青+色,青.a|色.e,,,色,3,1,0,,,,,,,,,,awoiro,,,アヲイロ,アオイロ,日|琉,,,,,,,,
aome-*,aome-*（臆病）,臆病,形,,,,（南琉球宫古）胆小的。,361 | 臆病.a.a | *aC[o]me-,,宮古 *[a](C)[o]me-,,,,,,,,臆病.a,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
aomeru,aomeru（青）,青,他动,下一段（下二段）,B-A-x,,使变青。,,ao-m-e-,,,,,*-m-ai-,,,,青.a,,,,3,1,0,,,,,,,,,,,aome- (阿乎美),,アヲム,アオメル,日,,,,,,,,
aomu,aomu（青）,青,自动,五段（四段）,B-A-x,,变青、发青、脸色发白、言行不老练。,386 | 青.a.v | *awo-m- || 387 | 青.a.n.2 | *awo-m-i | oA,ao-m-,,,,,*-m-,,,,青.a,,,,3,1,0,,,,,,,,,,awom- (阿乎美),,,アヲム,アオム,日|琉,,,,,,,,
aomukeru,aomukeru（仰向）,仰向,他动,下一段（下二段）,A/B-A-x | aomuke（名词）: [0]-[0]-x,,使物体表面或正面朝上。,,ao-muk-e-,,,,,*-ai-,,,仰+向,仰.a|向.m,,,,3,1,0,,,,,,,,,,,afumuke-,,アフムク,アオムケル,日,,,,,,,,
aomuku,aomuku（仰向）,仰向,自动,五段（四段）,A-A-x | aomuki（名词）: [0]-[0]-x,,物体表面或正面朝上。,,ao-muk-,,,,,,,,仰+向,仰.a|向.m,,,,3,1,0,,,,,,,,,,,,afumuk-,アフムク,アオムク,日,,,,,,,,
aonagi*,aonagi*,,名,,,,（琉球）青蛇、彩虹。,,,*awo+([o])nagi,,,,,,,青+鰻,青.a|鰻.o,,,鱼,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
aonagia*,aonagia*,,名,,,,（琉球）青蛇、彩虹。,,,*awo+([o])nagi-a,,,,*-a,,,青+鰻,青.a|鰻.o,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
aonokeru,aonokeru（仰）,仰,他动,下一段（下二段）,A/B-x-x | aonoke（名词）: [0]-[0]-x,,使物体表面或正面朝上。（= aomukeru）,,ao+nok-e-,,,,,*-ai-,,,仰+仰,仰.a|仰.n,,,,3,1,0,,,,,,,,,,,afunoke-,,アフノク,アオノケル,日,,,,,,,,
aonoku,aonoku（仰）,仰,自动,五段（四段）,A-A-x,,物体表面或正面朝上。（= aomuku）,,ao+nok-,,,,,,,,仰+仰,仰.a|仰.n,,,,3,1,0,,,,,,,,,,,afunok-,,アフノク,アオノク,日,,,,,,,,
aoraka,aoraka（青）,青,形动,,,,绿意盎然的样子。,,ao-ra-ka,,,,,*-ra-ka,,,,青.a,,,色,3,1,0,,,,,,,,,,aworaka,,,アヲラカ,アオラカ,日,,,,,,,,
aori,aori（障泥）,障泥 泥障,名,,3.4; 平平平 - [3]-[0]-x,3.4,鞍韂。,,a+or-i,,,,,*-i,,,足+触,足.a|触.p,,,,4,1,0,,,,,(泥障),,,,,auri 阿布利,,,アフリ,アオリ,日,,,,,,,,
aoru,aoru（呷）,呷,自动,五段（四段）,B-A-A,,一口闷。,,ao-r-,,,,,*-r-,,,,仰.a,,,,3,1,0,,,,,,,,,,,,aoru,アフル,アオル,日,,,,,,,,
aoru,aoru（煽）,煽,自动・他动,五段（四段）,?A/B; x - B-A-A | aori（名词）: x - [3]-[0]-A,?A/B,（他动）吹动、扇动、煽动；（自动，后起的）物（因风等而）动。（水纳语或为借词）,6247 | 煽.a.v | *ap[o]r- | B,ao-r-,宮古 *ap[o]-r-,*ap[o]-r-,,,*-r-,,,,扇.a,,,,3,1,0,,,,,,,,,,,aor-,,アフル,アオル,日|南琉宫,,,,,,,,
aosa,aosa（石蓴）,石蓴,名,,[0]-[0]-x x-B-x,,石莼（一种绿藻类海藻）、（北琉球冲绳）青海苔。,366 | 石蓴.a.n | *awasa | oC,ao-sa,*awa-sa,*aw[o]-sa,,,*-sa,,,,青.a,,,藻,3,1,0,,,,,,,,,,,aosa,,アヲサ,アオサ,日|琉,,,,,,,,
aoyaka,aoyaka（青）,青,形动,,4.11; 平平上平 - 2-x-x,4.11,绿意盎然的样子。,,ao-ya-ka,,,,,*-ya-ka,,,,青.a,,,,3,1,0,,,,,,,,,,awoyaka,,,アヲヤカ,アオヤカ,日,,,,,,,,
"apa* 1, aba* 2","apa* 1, aba* 2（鰧）",鰧,名,,,,（琉球）虎鱼。（= okoze）,5731 | 魚.a.n.4 | *apa | nC,,1 *apa | 2 *aba,,,,,,,,鰧.a,,清浊,鱼,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
apamia*,apamia*（喧嘩）,喧嘩,名,,,,（南琉球宫古）战斗、打架。,,,宮古 *apa-m-ɛ-ɛ < *apa-m-i-a,,,,*-m-i-a,,,,合.a,喧嘩,,行为,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
aparage-*,aparage-*（美）,美,形,,,,（南琉球宫古）美丽的。,212 | 美気.a.a | *apara-ge-,,宮古 *apa+ra+ge-,,,,,,词缀化,美+re+気,喘.a|re|気.k,美,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
"apuapu 1, aQpuaQpu 2","apuapu 1, aQpuaQpu 2",2 [1]-[1=1]-x,副,,,,态：在水中呼吸困难大口吸气吐气的样子、苦于困境的样子。,,1 apu+apu | 2 aQpu+aQpu,,,,,,,,apu+apu,apu,,辅音延长,,2,1,0,,,,,,,,,,,,1 apuapu | 2 aQpuaQpu,,1 アプアプ | 2 アップアップ,日,,,,,,,,
aQpa,aQpa（母）,母,名,,,,母亲、妻子、男孩、（八丈）幼女。,244 | 母.a.n.3 | *aQpa,,*a(Q)pa,*apa,,,,,,,母.a.3,,,亲,2,1,0,,,,,,,,,,,,aQpa,,アッパ,日|琉,,,,,,,,
aQpa,aQpa（唖）,唖,名,,,,（方言）哑巴、婴儿、小孩。,,,,,,,,,,,哑.a,,,疾,1,1,0,,,,,,,,,,,,,,アッパ,日,,,,,,,,
aQpai,aQpai,,形,,,,（西日本）美丽的（幼儿语）。,,aQpa-,,,,,,,,,喘.a,美,,,0,1,0,,,,,,,,,,,,,,,西日|九,,,,,,,,
aQpare,aQpare（天晴）,天晴 遖,感叹・形动,,[0/1/3]-[0]-x. 镰仓 LLL. 江户 HHLL,,（感动）强烈感叹、干得好；（形动）值得赞扬的。,,aQpa+re,*aQpa+re,,,,,,,美+re,喘.a|re,美,,,2,1,0,,,,,,,,,,,aQpare,,,アッパレ,日,,,,,,,,
"aQpare-* 1, abare- 2","aQpare-* 1, abare- 2（美）",美,形,,,,（南琉球八重山）美丽的。,215 | 美.a.a | *apare-,,八重山 1 *aQpa+re- | 2 *aba+re-,,,,,,,美+re,喘.a|re,美,清浊,,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
aQpu,aQpu,,名,,,,（九州）蛙。,,,,,,,,,,,蛙.a.1,,,两栖,1,1,0,,,,,,,,,,,,,,アップ,九,,,,,,,,
aQsari,aQsari,,副,,[3]-(3)-x,,态：人或物不复杂、人淡泊、不执拗的样子、不费事的样子。,,aQsa-ri,,,,,*-ri,,,,浅.a,,,,2,1,0,,,,,,,,,,,aQsari,,,アッサリ,日,,,,,,,,
ara,ara,,感,,[1/2]-[1]-x,,哎呀！（惊讶、感叹声，现代主要为女性使用）,,,,,,,,,,,ara,,,,2,1,0,,,,,,,,,,ara,,,,アラ,日,,,,,,,,
ara,ara（粗）,粗 荒 𩺊,名・形,Ø,2.2a; 上平 - [2]-[0/1]-A x-A-x,2.2a,（形）粗暴的、荒凉的、粗略的、粗糙的、未经加工的；（名）鱼类等的残骸、粗糠、人的缺点（方言：带着稻谷壳的大米、混在糙米或白米里的稻谷、稻谷壳等）。,247 | 粗.a.n | *ara | 2A,,*ara,*ara,,,,,,,粗.a,,,,2,1,0,,,,,ara 阿邏 阿良 (荒),,,,,,,,,アラ,日|琉,,,,,,,,
ara,ara（現）,現,形,Ø,,,可视存在的、出现了的。,,ar-a-,,,,,*-a-,,,,有.a,,,,2,1,0,,,,,ara (荒 現),,,,,,,,,アラ,日,,,,,,,,
ara,ara（新）,新,名・形,Ø,2.5; [1]-[1]-x,2.5,（名）新品；（形）新的。,248 | 新.a.a | *ara-,ara,*ara,*ara,,,,,,,新.a,,,,2,1,0,,,,,ara 阿良,,,,,,,,,アラ,日|琉,,,,,,,,
"araara 1, arara 2","araara 1, arara 2",,感叹,,1 [1]-x-x | 2 [3]-x-x,,声：因意外而吃惊，现在主要为女性使用。,,1 ara+ara | 2 ara+(a)ra,,,,,,,,ara+ara,ara,,音节缩短,,3,1,0,,,,,,,,,,1 araara,,2 arara,,1 アラアラ | 2 アララ,日,,,,,,,,
araara,araara（粗粗）,粗粗 荒荒,形动・副,,?4.9; 平上x平 (?= *平上x平) - [3]-[0]-x,?4.9,粗略地、大致地、粗暴地、剧烈地。,,ara+ara,,,,,,,,粗+粗,粗.a|粗.a,,,,2,1,0,,,,,,,,,,araara,,,,アラアラ,日,,,,,,,,
"arabiru 1, arebiru* 2","arabiru 1, arebiru* 2（荒）",荒,自动,上一段（上二段/上一段）,?A; [B]-x-x,?A,闹、荒芜、（感情）疏离。,,1 ara-bi- | 2 are-bi-,,,,,1 *-mpǝi- | 2 *-(a)C(i)-i-mpǝi-,,,,粗.a,,上一二段,,4,1,0,,,,,1 arabi2- (荒芒 荒振 荒備流) (上一段/上二段),,,,,1 arabi- (荒比留) (上一段) | 2 arebi- (上二段),,,1 アラブ | 2 アレブ,1 アラビル | 2 アレビル*,日,,,,,,,,
aragae-*,aragae-*（大）,大,自动,,x-x-x x-A-x,,（北琉球冲绳）（蔬菜、谷物等、（小孩、女性）人体）变大（且大于普通水平）。,,,沖縄 *ara+gapa-i-,,,,,,形=に+动,粗+交,粗.a|交.k,,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
